Compound;Formula;molecular_weight;CAS;city;odor;smiles;Vapor_pressure;retention_time
Dioxido de carbono;CO2;44;124-38-9;city_2;0;C(=O)=O;17800;5.132
mercaptometano ;CH4S;48;74-93-1;city_2;Alliaceous;CS;1510;5.256
Acetaldehido ;C2H4O;44;75-07-0;city_2;Beverage;CC=O;910;5.294
2-metil-1,3-butadieno;C5H8;68;78-79-5;city_2;0;CC(=C)C=C;551;5.848
2-etoxypropano;C5H12O;88;625-54-7;city_2;0;CCOC(C)C;263;6.577
2-propanona ;C3H6O;58;67-64-1;city_2;Chemical-Hydrocar;CC(=O)C;249;6.659
2-metilpropanal ;C4H8O;72;78-84-2;city_2;Baked;CC(C)C=O;164;6.694
2-metilfurano;C5H6O;82;534-22-5;city_2;Caramel;CC1=CC=CO1;161;8.752
2,3-butanodiona ;C4H6O2;86;431-03-8;city_2;Baked;CC(=O)C(=O)C;70.2;9.516
Acido acetico metil ester;C3H6O2;74;79-20-9;city_2;Beverage;CC(=O)OC;52.7;9.593
3-metilbutanal ;C5H10O;86;590-86-3;city_2;Caramel;CC(C)CC=O;51.6;10.472
2,5-dimetilfurano ;C6H8O;96;625-86-5;city_2;Baked;CC1=CC=C(O1)C;49.4;10.481
2- pentanona ;C5H10O;86;107-87-9;city_2;Ammonia;CCCC(=O)C;39.4;10.555
2-vinilfurano ;C6H6O;94;1487-18-9;city_2;0;C=CC1=CC=CO1;38.3;10.732
2-butenal ;C4H6O;70;4170-30-3;city_2;0;C/C=C/C=O;31.5;10.86
2,3-pentanodiona ;C5H8O2;100;600-14-6;city_2;Baked;CCC(=O)C(=O)C;31.1;11.012
2,5-dimetil-2-hexeno;C8H16;112;3404-78-2;city_2;0;CC(C)CC=C(C)C;26.1;11.086
2-metil-3-buten-2-ol;C5H10O;86;115-18-4;city_2;Aromatic;CC(C)(C=C)O;23.4;11.174
2-propilfurano ;C7H10O;110;4229-91-8;city_2;0;CCCC1=CC=CO1;19.5;12.429
1-metil-1H-pirrol ;C5H7N;81;96-54-8;city_2;Aromatic;CN1C=CC=C1;19.5;13.216
Piridina ;C5H5N;79;110-86-1;city_2;Ammonia;C1=CC=NC=C1;19.3;13.232
3-penten-2-ona ;C5H8O;84;3102-33-8;city_2;Fruty;C/C=C/C(=O)C;17.3;13.546
Acido acetico ;C2H4O2;60;64-19-7;city_2;Pungent;CC(=O)O;17.2;13.932
Isobutilester ;C8H18O;130;628-55-7;city_2;0;CC(C)COCC(C)C;16.5;16.298
3-hexanona ;C6H12O;100;589-38-8;city_2;Beverage;CCCC(=O)CC;16.2;16.731
2,4-dimetil-3-pentanona ;C6H10O2;114;565-80-0;city_2;0;CC(C)C(=O)C(C)C;14.9;17.067
2-metilbutanal ;C5H10O;86;96-17-3;city_2;Baked;CCC(C)C=O;10.4;18.569
1H-pirrol ;C4H5N;67;109-97-7;city_2;Chemical-Hydrocar;C1=CNC=C1;10.1;19.327
2,5-dimetil-2,4-hexadieno ;C8H14;96;764-13-6;city_2;0;CC(=CC=C(C)C)C;10.1;20.603
2-vinil-5-metilfurano ;C7H8O;108;10504-13-9;city_2;0;CC1=CC=C(O1)C=C;9.99;21.298
Pirazina ;C4H4N2;80;290-37-9;city_2;Baked;C1=CN=CC=N1;9.66;22.644
2-metoximetilfurano ;C6H8O2;112;13679-46-4;city_2;Baked;COCC1=CC=CO1;9.14;22.958
