Compound;Formula;molecular_weight;CAS;city;odor;smiles;Vapor_pressure;retention_time
4-metiltiazol;C4H5NS;99;693-95-8;city_2;Alliaceous;CC1=CSC=N1;8.62;23.125
2-metilpirazina ;C5H6N2;94;109-08-0;city_2;Baked;CC1=NC=CN=C1;7.29;23.544
2-Pentanol ;C5H12O;88;6032-29-7;city_2;Beverage;CCCC(C)O;7.26;23.976
Ciclobutanol ;C4H8O;72;2919-23-5;city_2;0;C1CC(C1)O;5.64;24.347
2-metil-2-ciclopent-1-ona ;C6H8O2;96;1120-73-6;city_2;0;CC1=CCCC1=O;3.76;24.349
Etilpirazina ;C6H8N2;108;13925-00-3;city_2;Baked;CCC1=NC=CN=C1;3.57;25.266
2,5-dimetilpirazina ;C6H8N2;108;123-32-0;city_2;Baked;CC1=CN=C(C=N1)C;3.18;26.378
2-propiltiofeno;C7H10S;126;1551-27-5;city_2;0;CCCC1=CC=CS1;2.76;26.729
2,3-dimetilpirazina ;C6H8N2;108;5910-89-4;city_2;Baked;CC1=NC=CN=C1C;2.74;27.005
2-furanocarboxaldehido ;C5H4O2;96;98-01-1;city_2;Baked;C1=COC(=C1)C=O;2.32;27.84
Furfurilformato ;C6H6N3;126;13493-97-5;city_2;Baked;C1=COC(=C1)COC=O;2.32;28.097
3-hidroxi-2-butanona ;C4H8O2;88;513-86-0;city_2;Baked;CC(C(=O)C)O;2;28.343
3-etilpiridina;C7H9N;107;536-78-7;city_2;Baked;CCC1=CN=CC=C1;1.98;28.443
Etenilpirazina;C6H6N2;106;4177-16-6;city_2;0;C=CC1=NC=CN=C1;1.8;31.02
2,6-dimetilpirazina ;C6H8N2;108;108-50-9;city_2;Baked;CC1=CN=CC(=N1)C;1.75;31.643
2,3,5-trimetilpirazina ;C7H10N2;122;14667-55-1;city_2;Baked;CC1=CN=C(C(=N1)C)C;1.45;32.455
2-acetil-5-metilfurano ;C7H8O2;124;1193-79-9;city_2;Caramel;CC1=CC=C(O1)C(=O)C;1.26;32.847
2-pentilfurano ;C9H14O;138;3777-69-3;city_2;Baked;CCCCCC1=CC=CO1;1.2;33.796
Furfuril acetato;C7H8O3;140;623-17-6;city_2;Food;CC(=O)OCC1=CC=CO1;1.01;34.327
1-(2-furanil)-etanona;C6H6O2;110;1192-62-7;city_2;Baked;CC(=O)C1=CC=CO1;0.947;35.133
5-metil-2-furfurilmercaptano ;C6H8OS;128;59303-05-8;city_2;Baked;CC1=CC=C(O1)CS;0.749;35.335
2-formil-1-metilpirrol;C6H7NO;109;1192-58-1;city_2;Baked;CN1C=CC=C1C=O;0.745;35.428
Benzoxazol;C7H5NO;119;273-53-0;city_2;0;C1=CC=C2C(=C1)N=CO2;0.687;35.606
5-metilfurfural ;C6H6O2;110;620-02-0;city_2;Baked;CC1=CC=C(O1)C=O;0.686;35.896
2-etil-5-metilpirazina ;C7H10N2;122;13360-64-0;city_2;Baked;CCC1=NC=C(N=C1)C;0.608;36.114
2-etil-6-metilpirazina ;C7H10N2;122;13925-03-6;city_2;Baked;CCC1=NC(=CN=C1)C;0.608;36.855
1-(2-piridinil)-etanona;C7H7NO;121;1122-62-9;city_2;Woody;CC(=O)C1=CC=CC=N1;0.537;37.096
4-ciclopenteno-1,3diona;C5H4O2;96;930-60-9;city_2;0;C1C(=O)C=CC1=O;0.489;37.149
2-furanmentanol propanoato ;C8H10O3;154;623-19-8;city_2;Floral;CCC(=O)OCC1=CC=CO1;0.463;37.256
Furfuril alcohol ;C5H6O2;98;98-00-0;city_2;Baked;C1=COC(=C1)CO;0.409;37.407
Fenol ;C6H6O;94;108-95-2;city_2;Chemical-Hydrocar;C1=CC=C(C=C1)O;0.323;37.526
1-(2-furil)-butan-3-ona;C8H10O2;138;699-17-2;city_2;Caramel;CC(=O)CCC1=CC=CO1;0.31;37.772
Dihidro-2(3H)-furanona;C4H6O2;86;96-48-0;city_2;Caramel;C1CC(=O)OC1;0.295;39.475
1-hidroxi-2-pentanona;C5H10O2;102;64502-89-2;city_2;0;CCCC(=O)CO;0.251;39.875
2,6-dietilpirazina ;C8H12N2;136;13067-27-1;city_2;0;CCC1=CN=CC(=N1)CC;0.192;40.824
2-etil-3,5-dimetilpirazina ;C8H12N2;136;13925-07-0;city_2;0;CCC1=NC=C(N=C1C)C;0.18;41.351
3-etil-4-metil-2,5-furandiona;C7H8O3;140;3552-33-8;city_2;0;CCC1=C(C(=O)OC1=O)C;0.174;41.863
Tetrametilpirazina  ;C8H12N2;136;1124-11-4;city_2;Brown;CC1=C(N=C(C(=N1)C)C)C;0.147;41.971
2-metil--5H-6,7-dihidrociclopentapirazina ;C8H10N2;134;23747-48-0;city_2;Baked;CC1CCC2=NC=CN=C12;0.144;42.254
5-metil-6,7-dihidro-5H)-ciclopentapirazina ;C8H10N2;134;23747-48-0;city_2;Baked;CC1CCC2=NC=CN=C12;0.144;42.955
2-metoxyfenol ;C7H8O2;124;090-05-1;city_2;0;COc1ccccc1O;0.113;43.033
1H-pirrol-2-carboxaldehido;C5H5NO;95;1003-29-8;city_2;Earthy;C1=CNC(=C1)C=O;0.0858;43.886
N-furfurilpirrol ;C9H9NO;147;1438-94-4;city_2;Baked;C1=CN(C=C1)CC2=CC=CO2;0.0858;44.495
2-acetilpirazina ;C6H6N2O;122;22047-25-2;city_2;Baked;CC(=O)C1=NC=CN=C1;0.0711;44.645
Bencenoacetaldehido;C10H10O;146;4411-89-6;city_2;Caramel;C/C=C(/C=O)\C1=CC=CC=C1;0.0462;45.178
3-acetil-2,5-dimetiltiofeno;C8H10OS;154;1/10/2530;city_2;0;CC1=CC(=C(S1)C)C(=O)C;0.0318;45.623
5-acetildihidro-2(3H)-furanona;C6H8O3;128;29393-32-6;city_2;0;CC(=O)C1CCC(=O)O1;0.031;46.859
1-(1H-pirrol-2-yl)-etanona;C6H7NO;109;1072-83-9;city_2;Baked;CC(=O)C1=CC=CN1;0.0289;47.057
Bencenoetanol;C8H10O;122;60-12-8;city_2;Floral;C1=CC=C(C=C1)CCO;0.0243;48.773
2,2’-[oxibis(metileno)]bis-furano;C10H10O3;178;4437-22-3;city_2;Earthy;C1=COC(=C1)COCC2=CC=CO2;0.0227;49.294
1-etil-6-metil-2(1H)-piridinona ;C8H11NO;137;19038-36-9;city_2;0;CCN1C(=CC=CC1=O)C;0.00731;50.499
4-piridazinamina ;C4H5N3;95;20744-39-2;city_2;0;C1=CN=NC=C1N;0.00566;51.566
2-amino-5-metoxi-benzaldehido ;C8H9NO2;151;26831-52-7;city_2;0;COC1=CC(=C(C=C1)N)C=O;0.00162;52.408
3-etil-2-hidroxi-2-ciclopenten-1-ona;C7H10O2;126;21835-01-8;city_2;Baked;CCC1=C(C(=O)CC1)O;0.00103;55.179
2,5 dimetil-3(2H)-furanona o Furaneol ;C6H8O2;112;3658-77-3;city_2;Brown;CC1C(=O)C(=C(O1)C)O;0.00058;55.285
3-hidroxi-2-metil-4H-piran-4-ona ;C6H6O3;126;118-71-8;city_2;Baked;CC1=C(C(=O)C=CO1)O;0.0000428;55.529
