Compound;Formula;molecular_weight;CAS;city;odor;smiles;Vapor_pressure;retention_time
Dioxido de carbono;CO2;44;124-38-9;city_3;0;C(=O)=O;17800;5.132
Acetaldehido ;C2H4O;44;75-07-0;city_3;Beverage;CC=O;910;5.294
2-propanona ;C3H6O;58;67-64-1;city_3;Chemical-Hydrocar;CC(=O)C;249;6.659
2-metilfurano;C5H6O;82;534-22-5;city_3;Caramel;CC1=CC=CO1;161;8.752
4-metoxi-1-buteno;C5H10O;86;4696-30-4;city_3;0;COCCC=C;139;8.954
2-butanona ;C4H8O;72;78-93-3;city_3;Chemical-Hydrocar;CCC(=O)C;98.5;9.236
2,3-butanodiona ;C4H6O2;86;431-03-8;city_3;Baked;CC(=O)C(=O)C;70.2;9.516
Acido acetico metil ester;C3H6O2;74;79-20-9;city_3;Beverage;CC(=O)OC;52.7;9.593
3-metilbutanal ;C5H10O;86;590-86-3;city_3;Caramel;CC(C)CC=O;51.6;10.472
2,5-dimetilfurano ;C6H8O;96;625-86-5;city_3;Baked;CC1=CC=C(O1)C;49.4;10.481
2-vinilfurano ;C6H6O;94;1487-18-9;city_3;0;C=CC1=CC=CO1;38.3;10.732
1-etilciclopenteno ;C7H12;96;2146-38-5;city_3;0;CCC1=CCCC1;33.3;10.999
2,3-pentanodiona ;C5H8O2;100;600-14-6;city_3;Baked;CCC(=O)C(=O)C;31.1;11.012
2-propilfurano ;C7H10O;110;4229-91-8;city_3;0;CCCC1=CC=CO1;19.5;12.429
1-metil-1H-pirrol ;C5H7N;81;96-54-8;city_3;Aromatic;CN1C=CC=C1;19.5;13.216
Piridina ;C5H5N;79;110-86-1;city_3;Ammonia;C1=CC=NC=C1;19.3;13.232
Acido acetico ;C2H4O2;60;64-19-7;city_3;Pungent;CC(=O)O;17.2;13.932
2-etil-5-metilfurano ;C7H10O;110;1703-52-2;city_3;Burnt;CCC1=CC=C(O1)C;16.7;14.557
2,4-dimetil-3-pentanona ;C6H10O2;114;565-80-0;city_3;0;CC(C)C(=O)C(C)C;14.9;17.067
2-metilbutanal ;C5H10O;86;96-17-3;city_3;Baked;CCC(C)C=O;10.4;18.569
2-vinil-5-metilfurano ;C7H8O;108;10504-13-9;city_3;0;CC1=CC=C(O1)C=C;9.99;21.298
