Compound;Formula;molecular_weight;CAS;city;odor;smiles;Vapor_pressure;retention_time
Tetrametilpirazina;C8H12N2;136;1124-11-4;city_1;Brown;CC1=C(N=C(C(=N1)C)C)C;0.147;41.97
3-metil-2- acido butenoico;C5H8O2;100;541-47-9;city_1;Dairy;CC(=CC(=O)O)C;0.146;42.58
2-metoxyfenol;C7H8O2;124;090-05-1;city_1;0;COc1ccccc1O;0.113;43.03
1H-pirrol-2-carboxaldehido;C5H5NO;95;1003-29-8;city_1;Earthy;C1=CNC(=C1)C=O;0.0858;43.89
1-(2-furanilmetil)-1H-pirrol;C9H9NO;147;1438-94-4;city_1;Baked;C1=CN(C=C1)CC2=CC=CO2;0.0858;44.49
2-(2-furanilmetil)-5-metil furano;C10H10O2;162;13678-51-8;city_1;0;CC1=CC=C(O1)CC2=CC=CO2;0.0743;44.55
2-acetilpirazina;C6H6N2O;122;22047-25-2;city_1;Baked;CC(=O)C1=NC=CN=C1;0.0711;44.65
3,5-dietil-2-metilpirazina;C9H14N2;150;18138-05-1;city_1;Baked;CCC1=CN=C(C(=N1)CC)C;0.0549;45.98
1-(1H-pirrol-2-yl)-etanona;C6H7NO;109;1072-83-9;city_1;Baked;CC(=O)C1=CC=CN1;0.0289;47.06
Bencenoetanol;C8H10O;122;60-12-8;city_1;Floral;C1=CC=C(C=C1)CCO;0.0243;48.77
2,2’-[oxibis(metileno)]bis-furano;C10H10O3;178;4437-22-3;city_1;Earthy;C1=COC(=C1)COCC2=CC=CO2;0.0227;49.29
5-heptildihidro-2(3H)-furanona;C11H20O2;184;104-67-6;city_1;Chemical-Hydrocar;CCCCCCCC1CCC(=O)O1;0.00409;50.24
5-hidroxi-2-piridinilmetilcetona;C7H7NO2;137;67310-56-9;city_1;0;CC(=O)C1=NC=C(C=C1)O;0.00353;51.65
1,2-acido benzenodicarboxilico-dietilester;C12H14O4;222;84-66-2;city_1;0;CCOC(=O)C1=CC=CC=C1C(=O)OCC;0.00254;52.17
1-(4-hidroxifenil)-etanona;C8H8O2;136;99-93-4;city_1;Balsamic;CC(=O)C1=CC=C(C=C1)O;0.00196;53.7
2-(3-metil-2-pirazinil)-2-propanol;C8H12N2O;152;41110-31-0;city_1;0;CC1=NC=CN=C1C(C)(C)O;0.00193;54.65
3-etil-2-hidroxi-2-ciclopenten-1-ona;C7H10O2;126;21835-01-8;city_1;Baked;CCC1=C(C(=O)CC1)O;0.00103;55.18
2,5 piperazinadiona;C4H6N2O2;114;106-57-0;city_1;0;C1C(=O)NCC(=O)N1;3.35E-08;55.46
